iter	Logloss
0	0.680088823
1	0.6698546399
2	0.6586198983
3	0.6456401915
4	0.6354426143
5	0.6285203465
6	0.6198378944
7	0.612114115
8	0.6027973398
9	0.5944688769
10	0.585422541
11	0.5769303059
12	0.5677407859
13	0.5595760507
14	0.5492529045
15	0.5434753999
16	0.5367722789
17	0.5284001553
18	0.5235109071
19	0.5162408177
20	0.5104326087
21	0.5043178871
22	0.497101708
23	0.4904396299
24	0.4842696668
25	0.478019659
26	0.4700556568
27	0.4681586333
28	0.4619800179
29	0.4565141286
30	0.4527790502
31	0.4474072711
32	0.4417741931
33	0.4381385494
34	0.4334999067
35	0.428948275
36	0.4247737939
37	0.4210385381
38	0.4178265898
39	0.4148076984
