iter	Logloss
0	0.6829812697
1	0.6728249717
2	0.6646896465
3	0.655597288
4	0.6462006295
5	0.6380710932
6	0.631212772
7	0.6239623581
8	0.6176556381
9	0.6095457741
10	0.6033288753
11	0.5966086381
12	0.5901398462
13	0.584130917
14	0.5791287067
15	0.5736957457
16	0.5681393669
17	0.5631838946
18	0.5570858785
19	0.5527227627
20	0.5476053231
21	0.5422811455
22	0.5366790826
23	0.5322912823
24	0.5285822656
25	0.5256437076
26	0.5218612405
27	0.5171850571
28	0.5125507088
29	0.5085168196
30	0.5055732553
31	0.5023219812
32	0.4992908564
33	0.4958396753
34	0.4928217352
35	0.4894379331
36	0.4865001923
37	0.4834415172
38	0.4801627143
39	0.4776623657
